Prompting_Strategy,Prompt_Template,F1,F2,F3,CS,CSP,Complexity_Level,
0shot,4,0.788732394366197,0.666666666666667,0.923076923076923,0.0,0.0,medium,
0shot,4,0.611111111111111,0.6,0.470588235294118,0.0,0.0,medium,
0shot,4,0.881720430107527,0.75,0.945054945054945,0.0434782608695652,0.0,medium,
0shot,4,0.888888888888889,0.555555555555556,0.888888888888889,0.0,0.0,medium,
0shot,4,0.796116504854369,0.5,0.774193548387097,0.0,0.0,medium,
0shot,4,0.554455445544554,0.4,0.43010752688172,0.037037037037037,1.0,medium,
0shot,4,0.666666666666667,0.695652173913044,0.55045871559633,0.0,0.0,high,
0shot,4,0.694915254237288,0.6,0.46,0.08,1.0,high,
0shot,4,0.75,0.454545454545455,0.655737704918033,0.0967741935483871,0.0,high,
0shot,4,0.657142857142857,0.555555555555556,0.564885496183206,0.0,0.0,high,
0shot,4,0.657534246575342,0.476190476190476,0.661971830985915,0.0,0.0,high,
0shot,4,0.246376811594203,0.333333333333333,0.195488721804511,0.0408163265306122,1.0,high,
0shot,5,0.888888888888889,0.833333333333333,0.956521739130435,0.333333333333333,1.0,low,
0shot,5,0.615384615384615,0.545454545454545,0.692307692307692,1.0,1.0,low,
0shot,5,0.857142857142857,0.769230769230769,0.857142857142857,0.428571428571429,1.0,low,
0shot,5,1.0,1.0,1.0,0.4,0.8,low,
0shot,5,0.894736842105263,0.875,0.529411764705882,1.0,1.0,low,
0shot,5,0.974358974358974,0.933333333333333,0.875,0.5,1.0,low,
0shot,5,1.0,1.0,0.666666666666667,0.583333333333333,0.777777777777778,low,
0shot,5,0.923076923076923,0.8,0.8,0.714285714285714,1.0,low,
0shot,5,0.926829268292683,0.705882352941177,0.777777777777778,0.25,1.0,low,
0shot,5,0.909090909090909,0.857142857142857,0.95,0.5,0.833333333333333,low,
0shot,5,0.754716981132075,0.666666666666667,0.938775510204082,0.333333333333333,1.0,low,
0shot,5,0.711864406779661,0.777777777777778,0.4,0.181818181818182,1.0,low,
0shot,5,0.833333333333333,0.777777777777778,0.642857142857143,0.818181818181818,1.0,low,
